How likely are you to participate in Volunteer Day again?,Overall satisfaction with your site (volunteer experience specifically with your site),"Did your site experience any logistical issues (finding work, receiving help, etc)",How many hours of volunteering did you do?,How effective were the pre-session and post-session briefings?,How much help did you receive volunteering?,How fulfilling was your volunteering experience?,How impactful do you think your voulunteer work was?,How likely are you to volunteer again with the site you volunteered at?,How likely are you to stay/get involved in service at UCLA?
yes,5,No,2.5,3,5,4,4,4,3
yes,5,No,3,3,4,5,4,5,5
yes,5,No,3,5,2,5,5,5,3
no,3,No,3,1,3,3,2,2,2
yes,5,No,3,1,1,5,5,5,5
no,1,Yes,2,1,1,1,2,1,3
yes,4,Yes,3,3,1,4,3,5,5
yes,5,No,4,3,5,5,5,5,5
yes,5,No,2,2,4,5,4,3,4
yes,4,No,1.5,4,3,4,4,4,4
yes,5,No,3,5,5,5,5,5,5
yes,5,No,3,3,4,4,5,3,4
yes,2,Yes,4,3,2,4,2,2,4
yes,4,No,3,2,4,4,4,2,4
yes,4,No,3,4,4,4,4,5,5
yes,4,Yes,2.5,3,3,4,4,4,4
yes,5,Yes,3,5,5,5,5,5,5
yes,5,No,4,1,4,4,3,4,2
no,5,No,2,2,4,5,3,1,5
yes,5,No,3,3,2,5,3,5,5
yes,4,No,2,4,5,4,3,5,5
yes,5,No,3,4,4,4,4,4,4
yes,5,No,3,5,5,5,5,5,5
yes,5,No,2,5,5,5,5,5,5
yes,5,No,2.5,3,4,5,4,5,5
yes,5,No,2,4,5,5,5,4,5
yes,5,No,4,5,5,5,5,5,5
yes,5,No,3,4,5,5,5,5,5
yes,5,No,4,3,4,4,4,4,4
yes,4,No,2,4,3,4,3,4,3
yes,4,No,2.5,1,1,3,3,3,5
yes,5,Yes,2.5,4,5,4,4,4,4
yes,5,No,3,4,3,5,5,5,5
yes,5,Yes,3,5,5,5,5,5,5
yes,5,No,3,3,4,5,4,1,3
yes,5,No,3,2,5,5,4,5,5
yes,3,Yes,3,2,4,3,3,4,5
yes,4,No,3,4,5,5,4,5,5
yes,3,Yes,3,1,2,3,3,3,3
no,3,No,5,3,2,4,2,2,3
no,4,Yes,4,2,4,5,4,5,5
yes,5,No,3,5,5,5,5,3,3
yes,5,No,4,5,5,5,5,5,5